Tổng lượng giao dịch bất động sản,unit,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25
Lượng giao dịch căn hộ chung cư nhà ở riêng lẻ,unit,48260,18329,13042,29674,36884,35820,25386,29949,11615,44690,20325,69079,51003,14349,39313,29725,29723,27590,35853,25885,38398,25409,33585,25885
Lượng giao dịch đất nền,unit,,,,,,,,,107167,63298,153537,213018,115129,149197,67268,67252,91277,81476,97659,124991,102966,86796,101049,124991
Tổng lượng giao dịch,unit,48260,18329,13042,29674,36884,35820,25386,29949,118782,107988,173862,282097,166132,163546,106581,96977,121000,109066,133512,150876,141364,112205,134634,150876
Dư nợ tín dụng kinh doanh bất động sản,VND bn,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25
Dư nợ tín dụng đối với các dự án đầu tư xây dựng khu đô thị dự án phát triển nhà ở,VND bn,, ,,,,,,166561,168687,210000,188105,182263,185406,180743,233252,252792,266248,305650,315219,318799,328339,378844,481017,318799
Dư nợ tín dụng đối với các dự án văn phòng cho thuê,VND bn,,,,,,,,54946,38991,46000,45532,46667,42193,41815,38139,37535,40622,42596,43336,44080,47663,50888,59670,44080
Dư nợ tín dụng đối với các dự án xây dựng khu công nghiệp khu chế xuất,VND bn,,,,,,,,27464,28326,35000,33335,36343,37151,40149,52343,53564,56571,77033,79801,86330,93780,102225,104742,86330
Dư nợ tín dụng đối với các dự án khu du lịch sinh thái nghỉ dưỡng,VND bn,,,,,,,,26204,26919,20000,33509,34618,35802,32660,37703,45169,53860,43570,48239,49127,45102,56186,55644,49127
Dư nợ tín dụng đối với các dự án nhà hàng khách sạn,VND bn,,,,,,,,53582,53348,60000,57898,56864,56403,57539,63288,66184,64211,59581,61635,61483,64720,68140,62438,61483
Dư nợ tín dụng đối với cho vay xây dựng sửa chữa nhà để bán cho thuê,VND bn,,,,,,,,99547,105558,12000,121153,141308,143452,144157,127075,137375,132165,123353,130732,126794,125854,116748,119041,126794
Dư nợ tín dụng đối với cho vay mua quyền sử dụng đất,VND bn,,,,,,,,53164,73833,15000,101071,78861,77311,85199,73655,63176,62701,75509,85727,94402,98837,131342,174485,94402
Dư nợ tín dụng đối với đầu tư kinh doanh bất động sản khác ,VND bn,,,,,,,,190756,186932,292075,203339,207651,199517,211452,233940,270001,310099,365669,398078,424422,469938,446545,506444,424422
Tổng dư nợ tín dụng KD BDS,VND bn,478648,486683,526396,580168,606253,633740,661112,672224,682594,690075,783942,784575,777235,793714,859395,925796,986477,1092961,1162767,1205437,1274233,1350918,1563481,1205437
Tồn kho bất động sản,unit,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25
Chung cư,unit,,,,,,,,,,,,,,,2572,1714,3196,2826,3706,2999,4688,1072,2339,3287
Nhà ở riêng lẻ,unit,,,,,,,,,,,,,,,9123,7473,6554,5173,8468,7045,12250,11218,9376,10290
Đất nền,unit,,,,,,,,,,,,,,,7113,7501,7190,8316,10855,7061,8999,4768,11685,11717
Tổng tồn kho bất động sản,unit,,,13000,,3000,9000,3300,,15067,2286,,0,0,,18808,16688,16940,16315,23029,17105,25937,17058,23400,25294
Dự án đầu tư xây dựng hạ tầng để chuyển nhượng quyền sử dụng đất xây dựng nhà ở,unit,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25
Số lượng dự án,unit,,,,,,,,,278,,203,236,232,,265,396,283,621,552,529,556,524,518,536
Hoàn thành,unit,,,,,,,,,15,,9,16,14,,11,25,36,68,21,20,4,20,17,38
Đang triển khai xây dựng,unit,,,,,,,,,234,,181,210,210,,248,326,224,524,519,493,528,497,490,478
Được cấp phép mới,unit,,,,,,,,,29,,13,10,8,,6,45,23,29,12,16,24,7,11,20
Quy mô ô nền,unit,,,,,,,,,78244,,54427,77992,62913,,68069,83641,44418,49032,82533,86854,71013,45835,26872,7938
Hoàn thành,unit,,,,,,,,,772,,1850,7324,708,,1237,1916,1627,4935,2332,1979,236,3170,4414,4802
Đang triển khai xây dựng,unit,,,,,,,,,73462,,47723,66596,61574,,66523,79787,40981,40981,79276,82993,65321,39781,19058,478
Được cấp phép mới,unit,,,,,,,,,4010,,4854,4072,631,,309,1938,1810,3116,925,1882,5456,2884,3400,2658
